 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0930
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3410
The depth of the nonerodible layer is......        0.7460
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           947
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
   219        0.0001        0.7460        0.8961        0.6685      -98.9795      -98.9795
   220        0.0084        0.7460        0.8988        0.6705      -98.9795      -98.9795
   221        0.0027        0.7460        0.8988        0.6705      -98.9795      -98.9795
   222        0.0008        0.7460        0.8988        0.6705      -98.9795      -98.9795
   223        0.0003        0.7460        0.8988        0.6705      -98.9795      -98.9795
   224        0.0002        0.7460        0.8988        0.6705      -98.9795      -98.9795
   225        0.0029        0.7460        0.8988        0.6705      -98.9795      -98.9795
   226        0.0027        0.7460        0.8988        0.6705      -98.9795      -98.9795
   227        0.0023        0.7460        0.8988        0.6705      -98.9795      -98.9795
   228        0.0031        0.7460        0.8989        0.6706      -98.9795      -98.9795
   229        0.0020        0.7460        0.8989        0.6706      -98.9795      -98.9795
   230        0.0003        0.7460        0.8989        0.6706      -98.9795      -98.9795
   231        0.0154        0.7460        0.9069        0.6766      -98.9795      -98.9795
   232        0.0019        0.7460        0.9069        0.6766      -98.9795      -98.9795
   233        0.0007        0.7460        0.9069        0.6766      -98.9795      -98.9795
   234        0.0051        0.7460        0.9078        0.6772      -98.9795      -98.9795
   235        0.0021        0.7460        0.9078        0.6772      -98.9795      -98.9795
   236        0.0175        0.7460        0.9175        0.6845      -98.9795      -98.9795
   237        0.0022        0.7460        0.9175        0.6845      -98.9795      -98.9795
   238        0.0003        0.7460        0.9175        0.6845      -98.9795      -98.9795
   239        0.0011        0.7460        0.9175        0.6845      -98.9795      -98.9795
   240        0.0004        0.7460        0.9175        0.6845      -98.9795      -98.9795
   241        0.0008        0.7460        0.9175        0.6845      -98.9795      -98.9795
   242        0.0001        0.7460        0.9175        0.6845      -98.9795      -98.9795
   243        0.0211        0.7460        0.9304        0.6940      -98.9795      -98.9795
   244        0.0041        0.7460        0.9307        0.6943      -98.9795      -98.9795
   245        0.0020        0.7460        0.9307        0.6943      -98.9795      -98.9795
   246        0.0082        0.7460        0.9331        0.6961      -98.9795      -98.9795
   247        0.0010        0.7460        0.9331        0.6961      -98.9795      -98.9795
   248        0.0008        0.7460        0.9331        0.6961      -98.9795      -98.9795
   249        0.0005        0.7460        0.9331        0.6961      -98.9795      -98.9795
   250        0.0036        0.7460        0.9332        0.6962      -98.9795      -98.9795
   251        0.0060        0.7460        0.9344        0.6971      -98.9795      -98.9795
   252        0.0012        0.7460        0.9344        0.6971      -98.9795      -98.9795
   253        0.0037        0.7460        0.9346        0.6972      -98.9795      -98.9795
   254        0.0004        0.7460        0.9346        0.6972      -98.9795      -98.9795
   255        0.0005        0.7460        0.9346        0.6972      -98.9795      -98.9795
   256        0.0037        0.7460        0.9348        0.6974      -98.9795      -98.9795
   257        0.0001        0.7460        0.9348        0.6974      -98.9795      -98.9795
   258        0.0030        0.7460        0.9348        0.6974      -98.9795      -98.9795
   259        0.0025        0.7460        0.9348        0.6974      -98.9795      -98.9795
   260        0.0280        0.7460        0.9540        0.7117      -98.9795      -98.9795
   261        0.0225        0.7460        0.9672        0.7215      -98.9795      -98.9795
   262        0.0168        0.7460        0.9752        0.7275      -98.9795      -98.9795
   263        0.0028        0.7460        0.9752        0.7275      -98.9795      -98.9795
   264        0.0032        0.7460        0.9752        0.7275      -98.9795      -98.9795
   265        0.0013        0.7460        0.9752        0.7275      -98.9795      -98.9795
   266        0.0016        0.7460        0.9752        0.7275      -98.9795      -98.9795
   267        0.0050        0.7460        0.9758        0.7279      -98.9795      -98.9795
   268        0.0004        0.7460        0.9758        0.7279      -98.9795      -98.9795
   269        0.0019        0.7460        0.9758        0.7279      -98.9795      -98.9795
   270        0.0002        0.7460        0.9758        0.7279      -98.9795      -98.9795
   271        0.0043        0.7460        0.9761        0.7282      -98.9795      -98.9795
   272        0.0025        0.7460        0.9761        0.7282      -98.9795      -98.9795
   273        0.0024        0.7460        0.9761        0.7282      -98.9795      -98.9795
