 ******************************************
        Entropy-based Gully erosion        
              model - V 0.2                
                                           
        TUB - Institut fur Okologie        
          UFC - PPGEA - Hidrosed           
                                           
            Pedro Alencar, 2020            
                                           
 ******************************************
  
The number of Manning of the channel is....        0.0400
The declivity of the hillslope is..........        0.0450
The critical shear stress is...............        3.5000
The rill erodibility coefficient is........        0.0210
The soil Bulk density is...................     1700.0000
The porosity of the soil is................        0.3580
The depth of the nonerodible layer is......        0.1980
The soil cohesion is.......................      600.0000
The internal friction angle is.............       24.0000
The threshold for wall erosion is..........        0.0000
The number of rainfall events is...........           914
  
  event   discharge(m3)    depth (m)    width (m)     area (m2)    lambda_wall    lambda_bed
   243        0.0002        0.1980        0.7932        0.1570      -98.9795      -98.9795
   244        0.0003        0.1980        0.7932        0.1570      -98.9795      -98.9795
   245        0.0019        0.1980        0.7932        0.1570      -98.9795      -98.9795
   246        0.0001        0.1980        0.7932        0.1570      -98.9795      -98.9795
   247        0.0015        0.1980        0.7932        0.1570      -98.9795      -98.9795
   248        0.0013        0.1980        0.7932        0.1570      -98.9795      -98.9795
   249        0.0140        0.1980        0.8146        0.1613      -98.9795      -98.9795
   250        0.0113        0.1980        0.8279        0.1639      -98.9795      -98.9795
   251        0.0084        0.1980        0.8344        0.1652      -98.9795      -98.9795
   252        0.0014        0.1980        0.8344        0.1652      -98.9795      -98.9795
   253        0.0016        0.1980        0.8344        0.1652      -98.9795      -98.9795
   254        0.0006        0.1980        0.8344        0.1652      -98.9795      -98.9795
   255        0.0008        0.1980        0.8344        0.1652      -98.9795      -98.9795
   256        0.0025        0.1980        0.8344        0.1652      -98.9795      -98.9795
   257        0.0002        0.1980        0.8344        0.1652      -98.9795      -98.9795
   258        0.0009        0.1980        0.8344        0.1652      -98.9795      -98.9795
   259        0.0001        0.1980        0.8344        0.1652      -98.9795      -98.9795
   260        0.0022        0.1980        0.8344        0.1652      -98.9795      -98.9795
   261        0.0012        0.1980        0.8344        0.1652      -98.9795      -98.9795
   262        0.0012        0.1980        0.8344        0.1652      -98.9795      -98.9795
   263        0.0042        0.1980        0.8344        0.1652      -98.9795      -98.9795
   264        0.0005        0.1980        0.8344        0.1652      -98.9795      -98.9795
   265        0.0009        0.1980        0.8344        0.1652      -98.9795      -98.9795
   266        0.0037        0.1980        0.8344        0.1652      -98.9795      -98.9795
   267        0.0023        0.1980        0.8344        0.1652      -98.9795      -98.9795
   268        0.0049        0.1980        0.8350        0.1653      -98.9795      -98.9795
   269        0.0022        0.1980        0.8350        0.1653      -98.9795      -98.9795
